article,year,pagerank,in_degree,out_degree,in_degree_cent,out_degree_cent,betweenness,eigenvector
Coronavirus disease 2019,2020,0.00043565941989704934,6,0,0.001408781404085466,0.0,0.0,0.03720993801385672
COVID-19 pandemic,2020,0.0002562506059053257,7,1139,0.0016435783047663772,0.26743366987555767,0.0007766165648974496,0.04574495532496994
World Health Organization,2020,0.0002562137454097911,7,941,0.0016435783047663772,0.22094388354073727,0.0008275011742602165,0.04574495532496994
SARS-CoV-2,2020,0.00025592376030395827,5,1738,0.0011739845034045551,0.40807701338342334,0.00042287487139615587,0.02994588547988521
Coronavirus,2020,0.00025551895425406735,5,384,0.0011739845034045551,0.09016200986146983,8.28728068317628e-05,0.02994588547988521
COVID-19 vaccine,2020,0.0002551678403139735,5,1693,0.0011739845034045551,0.3975111528527824,0.0005805542508219871,0.036476689103967265
COVID-19 testing,2020,0.0002546342954748052,4,1514,0.0009391876027236441,0.3554825076308993,0.00011284640676373884,0.031304840126213665
Symptoms of COVID-19,2020,0.0002545909053404305,4,1,0.0009391876027236441,0.00023479690068091102,0.0,0.028278966291403196
Transmission of COVID-19,2020,0.0002545909053404305,4,0,0.0009391876027236441,0.0,0.0,0.028278966291403196
Contagious disease,2020,0.0002543412588567756,2,151,0.00046959380136182204,0.035454332002817564,0.0001274463754501331,0.014161480612998281
Coronavirus diseases,2020,0.0002542264541867918,1,215,0.00023479690068091102,0.05048133364639587,0.0001437294504462189,0.007904423248608291
Veterinary medicine,2020,0.00023704245632566673,3,0,0.000704390702042733,0.0,0.0,0.010910743779155045
Doi (identifier),2020,0.00023647273469798213,7,0,0.0016435783047663772,0.0,0.0,0.04738743288312231
PMC (identifier),2020,0.00023647273469798213,7,0,0.0016435783047663772,0.0,0.0,0.04738743288312231
PMID (identifier),2020,0.00023647273469798213,7,0,0.0016435783047663772,0.0,0.0,0.04738743288312231
ISSN (identifier),2020,0.00023647273469798213,7,0,0.0016435783047663772,0.0,0.0,0.04738743288312231
Infection,2020,0.00023634706826419443,4,0,0.0009391876027236441,0.0,0.0,0.023102228987583663
Transmission (medicine),2020,0.00023634706826419443,4,0,0.0009391876027236441,0.0,0.0,0.023102228987583663
COVID-19,2020,0.00023626069376659858,6,10,0.001408781404085466,0.0023479690068091102,0.00018960388288711446,0.037845420402427575
SARS,2020,0.00023626069376659858,6,0,0.001408781404085466,0.0,0.0,0.037845420402427575
ISBN (identifier),2020,0.00023624007384581762,5,0,0.0011739845034045551,0.0,0.0,0.03352902848621167
Wuhan,2020,0.0002361428375844179,5,0,0.0011739845034045551,0.0,0.0,0.030244073369906928
Middle East respiratory syndrome,2020,0.0002361289034651244,5,0,0.0011739845034045551,0.0,0.0,0.031329281756543315
Severe acute respiratory syndrome,2020,0.0002361289034651244,5,0,0.0011739845034045551,0.0,0.0,0.031329281756543315
Host (biology),2020,0.00023611440741202986,2,0,0.00046959380136182204,0.0,0.0,0.009243824590673024
MERS,2020,0.00023608551333074968,5,0,0.0011739845034045551,0.0,0.0,0.02830340792173284
Incubation period,2020,0.000236016572099462,4,0,0.0009391876027236441,0.0,0.0,0.025301975717252026
Severe acute respiratory syndrome coronavirus 2,2020,0.00023601409879514055,4,0,0.0009391876027236441,0.0,0.0,0.025072224392153324
Severe acute respiratory syndrome coronavirus,2020,0.0002360110472829437,4,0,0.0009391876027236441,0.0,0.0,0.02372793472402266
2002–2004 SARS outbreak,2020,0.0002360110472829437,4,0,0.0009391876027236441,0.0,0.0,0.02372793472402266
Betacoronavirus,2020,0.0002360110472829437,4,0,0.0009391876027236441,0.0,0.0,0.02372793472402266
Zoonosis,2020,0.0002360110472829437,4,0,0.0009391876027236441,0.0,0.0,0.02372793472402266
ArcGIS,2020,0.0002360110472829437,4,0,0.0009391876027236441,0.0,0.0,0.02372793472402266
Johns Hopkins University,2020,0.0002360110472829437,4,0,0.0009391876027236441,0.0,0.0,0.02372793472402266
