article,year,pagerank,in_degree,out_degree,in_degree_cent,out_degree_cent,betweenness,eigenvector
Origin of COVID-19,2024,0.004071713010669625,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic and animals,2024,0.004071713010669625,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Theobald Smith,2024,0.004071713010669625,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Paul W. Ewald,2024,0.004071713010669625,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
2021–2023 global supply chain crisis,2024,0.004071713010669625,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Adenoviridae,2024,0.004071713010669625,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Air filter,2024,0.0028110997839974963,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Terminology,2024,0.0028110997839974963,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Phrase,2024,0.0028110997839974963,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
PMC (identifier),2024,0.00274806912266389,3,0,0.007211538461538462,0.0,0.0,0.09631647373944857
COVID-19 pandemic in South Australia,2024,0.00274806912266389,3,0,0.007211538461538462,0.0,0.0,0.09631647373944857
AdCLD-CoV19,2024,0.002624368187939064,2,0,0.004807692307692308,0.0,0.0,0.22299255235671742
Gendered impact of the COVID-19 pandemic,2024,0.002617813099020973,3,10,0.007211538461538462,0.02403846153846154,0.0002693466172381835,0.1282442400262472
Impact of the COVID-19 pandemic on politics in Russia,2024,0.0026083886060757006,2,0,0.004807692307692308,0.0,0.0,0.19106478606991883
COVID-19 pandemic,2024,0.0026018335171576097,3,10,0.007211538461538462,0.02403846153846154,0.0001708758109360519,0.09631647373944857
NHS COVID-19,2024,0.002592409024212338,2,0,0.004807692307692308,0.0,0.0,0.15913701978312017
Prince of Wales Hospital,2024,0.0025909363023897958,2,0,0.004807692307692308,0.0,0.0,0.12807174227125961
COVID-19 Response Acceleration Task Force,2024,0.002574956720526433,2,0,0.004807692307692308,0.0,0.0,0.09614397598446094
Air purifier,2024,0.0025589771386630706,2,0,0.004807692307692308,0.0,0.0,0.0642162096976623
COVID-19 pandemic in the United Kingdom,2024,0.0025589771386630706,2,0,0.004807692307692308,0.0,0.0,0.0642162096976623
Timeline of the COVID-19 pandemic in April 2020,2024,0.0025589771386630706,2,0,0.004807692307692308,0.0,0.0,0.0642162096976623
Jérôme Salomon,2024,0.0025589771386630706,2,0,0.004807692307692308,0.0,0.0,0.0642162096976623
Sinopharm BIBP COVID-19 vaccine,2024,0.0025589771386630706,2,0,0.004807692307692308,0.0,0.0,0.0642162096976623
Timeline of the COVID-19 pandemic in the Philippines (2020),2024,0.0025589771386630706,2,0,0.004807692307692308,0.0,0.0,0.0642162096976623
2023 Chinese healthcare reform protests,2024,0.0025589771386630706,2,0,0.004807692307692308,0.0,0.0,0.0642162096976623
Centers for Disease Control and Prevention,2024,0.0025589771386630706,2,0,0.004807692307692308,0.0,0.0,0.0642162096976623
Impact of the COVID-19 pandemic on the fashion industry,2024,0.0025589771386630706,2,0,0.004807692307692308,0.0,0.0,0.0642162096976623
Plague City: SARS in Toronto,2024,0.0025589771386630706,2,0,0.004807692307692308,0.0,0.0,0.0642162096976623
Ageusia,2024,0.0024127415331567903,2,10,0.004807692307692308,0.02403846153846154,0.00017377201112140871,0.0642162096976623
COVID-19 vaccine,2024,0.0024127415331567903,2,10,0.004807692307692308,0.02403846153846154,0.0001679796107506951,0.0642162096976623
Variants of SARS-CoV-2,2024,0.0024127415331567903,2,10,0.004807692307692308,0.02403846153846154,0.0002201112140871177,0.0642162096976623
COVID-19 pandemic death rates by country,2024,0.0024127415331567903,2,10,0.004807692307692308,0.02403846153846154,0.0001679796107506951,0.0642162096976623
2002–2004 SARS outbreak,2024,0.0024127415331567903,2,10,0.004807692307692308,0.02403846153846154,0.00011005560704355886,0.0642162096976623
Air China Flight 112,2024,0.0024127415331567903,2,10,0.004807692307692308,0.02403846153846154,0.00011005560704355886,0.0642162096976623
COVID-19 pandemic in the Faroe Islands,2024,0.0024033170402115184,1,0,0.002403846153846154,0.0,0.0,0.12703675574133394
COVID-19 pandemic in Ethiopia,2024,0.0024033170402115184,1,0,0.002403846153846154,0.0,0.0,0.12703675574133394
COVID-19 pandemic in Benin,2024,0.0024033170402115184,1,0,0.002403846153846154,0.0,0.0,0.12703675574133394
COVID-19 pandemic in Finland,2024,0.0024033170402115184,1,0,0.002403846153846154,0.0,0.0,0.12703675574133394
Johns Hopkins University,2024,0.0024033170402115184,1,0,0.002403846153846154,0.0,0.0,0.12703675574133394
Personal protective equipment,2024,0.0024033170402115184,1,0,0.002403846153846154,0.0,0.0,0.12703675574133394
COVID-19 vaccination in Kazakhstan,2024,0.0024033170402115184,1,0,0.002403846153846154,0.0,0.0,0.12703675574133394
COVID-19 pandemic in Andhra Pradesh,2024,0.0024018443183889764,1,0,0.002403846153846154,0.0,0.0,0.09597147822947333
NHS Louisa Jordan,2024,0.0024018443183889764,1,0,0.002403846153846154,0.0,0.0,0.09597147822947333
COVID-19 vaccination in Australia,2024,0.0024018443183889764,1,0,0.002403846153846154,0.0,0.0,0.09597147822947333
SCB-2019,2024,0.0024018443183889764,1,0,0.002403846153846154,0.0,0.0,0.09597147822947333
Mahsa Amini protests,2024,0.0024018443183889764,1,0,0.002403846153846154,0.0,0.0,0.09597147822947333
Li Wenliang,2024,0.0024018443183889764,1,0,0.002403846153846154,0.0,0.0,0.09597147822947333
Virus-like particle,2024,0.0024018443183889764,1,0,0.002403846153846154,0.0,0.0,0.09597147822947333
United States racial unrest (2020–2023),2024,0.0024018443183889764,1,0,0.002403846153846154,0.0,0.0,0.09597147822947333
Impact of the COVID-19 pandemic on aviation,2024,0.0024018443183889764,1,0,0.002403846153846154,0.0,0.0,0.09597147822947333
United Arab Emirates,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Center for Infectious Disease Research and Policy,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
COVID-19 pandemic in Liberia,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
COVID-19 pandemic in Serbia,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Pneumococcal conjugate vaccine,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Haiti,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Government of China,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
COVID-19 pandemic in Alabama,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
COVID-19 pandemic in Mayotte,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
INNA-051,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
COVID-19 pandemic in Djibouti,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Economic impact of the COVID-19 pandemic in the United Kingdom,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
COVID-19 pandemic in Papua New Guinea,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
COVID-19 pandemic in Indonesia,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
COVID-19 pandemic in Mauritius,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
COVID-19 pandemic in Kenya,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Tony Holohan,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
National responses to the COVID-19 pandemic in Africa,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Responses to the COVID-19 pandemic in December 2020,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
ISSN (identifier),2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
COVID-19 pandemic in Southeast Asia,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
SARS-CoV-2 Delta variant,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Timeline of the COVID-19 pandemic in Northern Ireland (2020),2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Macau,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
COVID-19 pandemic in Yemen,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Timeline of the COVID-19 pandemic in Japan,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
COVID-19 managed isolation in New Zealand,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Barefoot doctor,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Disease surveillance in China,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Education in China,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Massachusetts smallpox epidemic,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
1623 Malta plague outbreak,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
1775–1782 North American smallpox epidemic,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Department of Health (Hong Kong),2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
1770–1772 Russian plague,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
2013 Swansea measles epidemic,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Confusion,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Visual hallucination,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Scoville scale,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Amnesia,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Hypogeusia,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Auditory hallucination,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Suicidal ideation,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Cyclic guanosine monophosphate,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Glucose,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Disequilibrium (medicine),2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Port of Qinzhou,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
State Council of China,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Wings of China,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Road Traffic Safety Law of the People's Republic of China,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Port of Rizhao,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Shandong Airlines,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Cathay Pacific,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Urban rail transit in China,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
Hong Kong International Airport,2024,0.002385864736525614,1,0,0.002403846153846154,0.0,0.0,0.06404371194267468
COVID-19,2024,0.002369885154662251,1,47,0.002403846153846154,0.11298076923076923,0.0021837349397590355,0.03211594565587604
Porcine epidemic diarrhea virus,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Bird,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Orthornavirae,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
June Almeida,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Pathogen,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Mice,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Common cold,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Mammal,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Genitourinary system,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic in Austria,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic in the Northwest Territories,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Impact of the COVID-19 pandemic on tourism,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Casirivimab/imdevimab,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic in Libya,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic in British Columbia,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
SARS-CoV-2 Zeta variant,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic in England,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Provincial government response to the COVID-19 pandemic in Ontario,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Indian government response to the COVID-19 pandemic,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Tixagevimab/cilgavimab,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic in Malawi,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic in Turkey,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 vaccination in Bosnia and Herzegovina,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
NZ Pass Verifier,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Timeline of the COVID-19 pandemic in Belarus (2021),2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic in Ukraine,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic in Eswatini,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic in Grenada,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic in Nigeria,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic in Georgia (U.S. state),2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Responses to the COVID-19 pandemic in August 2022,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic in Uttarakhand,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic in Colorado,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic on Charles de Gaulle,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic in New Zealand,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Li Keqiang,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
ARCT-154,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 vaccination in Singapore,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic in Åland,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Chen Shih-chung,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
2020 Tablighi Jamaat COVID-19 hotspot in Malaysia,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Huoshenshan Hospital,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Hospital ships designated for the COVID-19 pandemic,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
ReCOV,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
COVID-19 pandemic in Kyrgyzstan,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
National Expert Group on Vaccine Administration for COVID-19,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
2021 Cuban protests,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
CRISPR,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Ebola virus disease,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
The Precipice: Existential Risk and the Future of Humanity,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Biosafety level,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Commerce,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
MERS-CoV,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
Poultry farming,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
SARS-CoV-2 Omicron variant,2024,0.002369885154662251,1,0,0.002403846153846154,0.0,0.0,0.03211594565587604
