article,in_degree,out_degree,degree_centrality,pagerank,betweenness
COVID-19 pandemic,285,1501,0.4619762027935851,0.001972660842636928,0.004021970228275606
Doi (identifier),233,0,0.0602690118986032,0.0016031906227798186,0.0
ISSN (identifier),235,0,0.06078634247284014,0.001249666949131941,0.0
COVID-19,286,2123,0.6231246766683911,0.0011986683871106185,0.029716026164830545
PMID (identifier),202,0,0.05225038799793068,0.0011927147659709467,0.0
PMC (identifier),193,0,0.049922400413864455,0.0011177008220024875,0.0
ISBN (identifier),101,0,0.02612519399896534,0.001021158016681175,0.0
Symptoms of COVID-19,241,1499,0.4500775995861355,0.0010182941798259624,0.012630078231404471
S2CID (identifier),137,0,0.03543714433523021,0.0008843509840302803,0.0
Bulgarian National Unification,7,0,0.0018106570098292809,0.0007767866321868192,0.0
Wayback Machine,116,0,0.03000517330574237,0.000753128504411758,0.0
Long COVID,243,1501,0.4511122607346094,0.0007435947945074053,0.0098144683795868
The New York Times,92,0,0.02379720641489912,0.0007209213925997445,0.0
Bibcode (identifier),108,0,0.02793585100879462,0.0007083589365124593,0.0
Attack (political party),6,8,0.0036213140196585617,0.000707373581404043,3.4497628288055197e-06
Conservative Bulgaria,6,6,0.0031039834454216243,0.0006867849121911837,2.5873221216041398e-06
COVID-19 misinformation,245,1425,0.4319710294878427,0.0006852537487124328,0.0006219795644901093
The Guardian,104,0,0.026901189860320744,0.000624551352877498,0.0
The Washington Post,71,0,0.018365235385411276,0.0006167055790779166,0.0
Nationalist Party of Bulgaria,6,3,0.0023279875840662182,0.0006153372083999,0.0
SARS-CoV-2,253,1901,0.5571650284531816,0.0006049047764990618,0.008629979068802732
World Health Organization,174,0,0.04500775995861355,0.0005921869959603356,0.0
Reuters,86,0,0.022245214692188306,0.000544198438851533,0.0
National Institutes of Health,30,0,0.007759958613554061,0.0004991580528660674,0.0
COVID-19 vaccine,243,1438,0.43481634764614585,0.0004945100768286714,0.0011819415615142576
Deployment of COVID-19 vaccines,230,0,0.0594930160372478,0.00048263723875724716,0.0
Clinical trial,45,0,0.011639937920331092,0.0004749710216477266,0.0
YouTube,29,0,0.007501293326435592,0.0004636386251572098,0.0
India,35,0,0.009053285049146403,0.00045272433226646906,0.0
Shortness of breath,8,0,0.0020693222969477496,0.0004488540714820545,0.0
China,75,0,0.01939989653388515,0.00044174996922349575,0.0
United States,47,0,0.012157268494568028,0.0004259133587694409,0.0
COVID-19 lockdowns,232,1363,0.4125711329539576,0.0004250936775511996,2.373252583021762e-05
Monoclonal antibody,239,0,0.06182100362131402,0.0004180153857320285,0.0
COVID-19 pandemic in the United States,229,1381,0.4164511122607346,0.000403276590161405,0.0012404674487481477
BBC,31,0,0.008018623900672529,0.00039972324536959313,0.0
Myalgic encephalomyelitis/chronic fatigue syndrome,9,0,0.0023279875840662182,0.00039949935410083084,0.0
Severe acute respiratory syndrome coronavirus 2,118,0,0.030522503879979304,0.0003978701994525777,0.0
Post-exertional malaise,49,21,0.018106570098292807,0.0003938505648070733,0.00015275203322439852
Pfizer,32,0,0.008277289187790998,0.00038792694048346164,0.0
COVID-19 pandemic in Kentucky,221,0,0.05716502845318158,0.00037715440514086404,0.0
BBC News,59,0,0.015261251939989652,0.00037706231746327654,0.0
Food and Drug Administration,39,0,0.010087946197620278,0.0003747437999669638,0.0
NPR,31,0,0.008018623900672529,0.0003715465145219028,0.0
RECOVERY Trial,231,0,0.05975168132436627,0.00037123722151917975,0.0
