article,pr_2020_03,pr_2020_07,pr_2021_03,pr_2022_01,shift_P1_to_P2,shift_P2_to_P3,shift_P3_to_P4,shift_overall
COVID-19 pandemic,0.000779037225616988,0.00670927093076553,0.006019520579229582,0.005831024970434194,0.005930233705148542,-0.0006897503515359473,-0.00018849560879538856,0.005051987744817205
COVID-19,0.005735848954554823,0.004330348967377092,0.00333487896090754,0.0050496939674035506,-0.0014054999871777312,-0.000995470006469552,0.0017148150064960105,-0.0006861549871512726
World Health Organization,0.003354445681604563,0.003913541926960085,0.0034003439400471626,0.002897417082505884,0.0005590962453555217,-0.000513197986912922,-0.0005029268575412788,-0.00045702859909867903
Severe acute respiratory syndrome coronavirus 2,0.002904608246399193,0.002297854099512408,0.0028508174483335893,0.002709874731939224,-0.000606754146886785,0.0005529633488211812,-0.00014094271639436507,-0.00019473351445996887
Wuhan,0.0056104961360068555,0.0035120493716553386,0.002991523556761321,0.002519563476359226,-0.002098446764351517,-0.0005205258148940177,-0.0004719600804020947,-0.0030909326596476293
The Guardian,0.0035712142781464864,0.0024135495665728326,0.002273406348168833,0.002047235278166921,-0.0011576647115736538,-0.00014014321840399944,-0.0002261710700019121,-0.0015239789999795653
European Union,0.003392048032070551,0.0027934582763500053,0.002437019784579911,0.001959816410296977,-0.0005985897557205457,-0.0003564384917700944,-0.0004772033742829339,-0.001432231621773574
Reuters,0.0018983215919767546,0.0023074368456532887,0.0021418145534193842,0.0019168902796980816,0.00040911525367653403,-0.00016562229223390443,-0.0002249242737213026,1.856868772132699e-05
The New York Times,0.002780299857637791,0.0019788167982315356,0.0021954645474364523,0.0019003852032407047,-0.0008014830594062555,0.0002166477492049168,-0.0002950793441957476,-0.0008799146543970863
SARS-CoV-2,0.006301502907583466,0.00299578849969518,0.0021097855587433978,0.0018884152577271205,-0.0033057144078882865,-0.0008860029409517821,-0.00022137030101627726,-0.004413087649856345
Severe acute respiratory syndrome,0.0014920053393665872,0.0029078331526904374,0.0022301944263935568,0.0018056869380515136,0.0014158278133238503,-0.0006776387262968806,-0.0004245074883420432,0.0003136815986849264
Hubei,0.004486708573109521,0.002571513229311792,0.002505393643385926,0.0017614633075109798,-0.0019151953437977287,-6.611958592586589e-05,-0.0007439303358749462,-0.002725245265598541
The Washington Post,0.0018957029917370683,0.001506811858862299,0.0016958170142632458,0.001700004109961374,-0.0003888911328747693,0.0001890051554009468,4.187095698128139e-06,-0.00019569888177569435
China,0.0024305365419962093,0.002676852327865983,0.002368269545002217,0.001624878490973734,0.00024631578586977376,-0.00030858278286376595,-0.000743391054028483,-0.0008056580510224752
Case fatality rate,0.0008563895083584295,0.002683064230805452,0.0020166975639328536,0.0016147453858446504,0.0018266747224470227,-0.0006663666668725986,-0.00040195217808820316,0.0007583558774862209
Transmission (medicine),0.0010421309400417934,0.002551631801101454,0.0019269534459992641,0.0015203107377379007,0.0015095008610596604,-0.0006246783551021897,-0.00040664270826136343,0.0004781797976961073
Novel coronavirus,0.0008819960289513722,0.00256818886699719,0.0019210711350760778,0.0015102828055843418,0.0016861928380458178,-0.0006471177319211123,-0.000410788329491736,0.0006282867766329696
Symptoms of COVID-19,0.0,0.00047136628680630285,0.0008933114186485986,0.0014461192391458978,0.00047136628680630285,0.0004219451318422957,0.0005528078204972992,0.0014461192391458978
Centers for Disease Control and Prevention,0.002362132950753068,0.001505324701863047,0.0014856320623442476,0.0013295536512539083,-0.0008568082488900211,-1.9692639518799435e-05,-0.00015607841109033932,-0.00103257929949916
COVID-19 pandemic by country and territory,0.000779037225616988,0.001836304808970728,0.001588243222041104,0.001285029149122578,0.00105726758335374,-0.000248061586929624,-0.00030321407291852604,0.00050599192350559
United States,0.004071704266559252,0.0027739657568233733,0.0016770294177311464,0.0012554958039305403,-0.0012977385097358786,-0.001096936339092227,-0.000421533613800606,-0.0028162084626287115
YouTube,0.001556934167602002,0.0012589790955609237,0.0017022391643900466,0.0012075295626629142,-0.0002979550720410783,0.00044326006882912296,-0.0004947096017271324,-0.00034940460493908775
COVID-19 pandemic in Europe,0.000779037225616988,0.0016716294658974307,0.0013700213229964294,0.0011163360407992326,0.0008925922402804427,-0.00030160814290100123,-0.00025368528219719684,0.0003372988151822446
BBC News,0.0019628816604701955,0.0014893778824963655,0.0014716002917702967,0.0010928114691827276,-0.00047350377797383,-1.7777590726068826e-05,-0.00037878882258756915,-0.000870070191287468
BBC,0.0016342943254025718,0.0012416814414936675,0.001250638199954182,0.0010908085728761072,-0.00039261288390890427,8.956758460514514e-06,-0.0001598296270780748,-0.0005434857525264646
COVID-19 vaccine,0.0,0.0007412194159794872,0.000985828168838646,0.0010712914674881496,0.0007412194159794872,0.0002446087528591588,8.54632986495036e-05,0.0010712914674881496
Social distancing,0.000779037225616988,0.0011081174733110538,0.0010371994835124993,0.0010008068874047802,0.0003290802476940658,-7.091798979855452e-05,-3.639259610771907e-05,0.00022176966178779223
COVID-19 testing,0.000779037225616988,0.0009175230240808122,0.0009234246416374873,0.0009153948508262809,0.00013848579846382418,5.9016175566751735e-06,-8.02979081120645e-06,0.0001363576252092929
COVID-19 pandemic in Italy,0.000779037225616988,0.001417482923122018,0.0010899956722039356,0.0009129478697500508,0.0006384456975050299,-0.0003274872509180823,-0.00017704780245388475,0.00013391064413306286
India,0.0011756333068935108,0.0011112635943248145,0.0009118314770968501,0.0009034080537525485,-6.436971256869621e-05,-0.00019943211722796446,-8.423423344301587e-06,-0.00027222525314096226
National Institutes of Health,0.0016587585567302858,0.0009598297848635118,0.0008655826808963846,0.0008898694959527703,-0.000698928771866774,-9.424710396712722e-05,2.4286815056385764e-05,-0.0007688890607775154
European Medicines Agency,0.0012791895613108485,0.0007828046078221288,0.0007138265982518977,0.0008567381855453401,-0.0004963849534887197,-6.897800957023114e-05,0.0001429115872934424,-0.00042245137576550846
Food and Drug Administration,0.0008343902407509383,0.0008202110129041983,0.0008511019694411211,0.0008450255436751657,-1.4179227846740079e-05,3.08909565369228e-05,-6.076425765955411e-06,1.063530292422731e-05
Attack (political party),0.002103971371965657,0.001272972655470036,0.0011027144320728355,0.000832027947049685,-0.0008309987164956212,-0.00017025822339720043,-0.00027068648502315046,-0.001271943424915972
Taiwan,0.001407205687232333,0.0012158916955370904,0.0009709855009695592,0.0008298263110791725,-0.00019131399169524266,-0.00024490619456753117,-0.0001411591898903867,-0.0005773793761531605
COVID-19 misinformation,0.000779037225616988,0.00047136628680630285,0.0005285457563811413,0.0008112817515842106,-0.00030767093881068513,5.717946957483841e-05,0.00028273599520306936,3.224452596722264e-05
Coronavirus spike protein,0.0,0.0,0.0,0.0008084599008206348,0.0,0.0,0.0008084599008206348,0.0008084599008206348
COVID-19 pandemic in mainland China,0.000779037225616988,0.0009089322613203839,0.0007559281475946848,0.0008072998427901769,0.00012989503570339596,-0.0001530041137256991,5.137169519549203e-05,2.8262617173188892e-05
Quarantine,0.0009551073180906337,0.0011092982488250887,0.0008924970649336396,0.0008003893642661318,0.00015419093073445501,-0.00021680118389144902,-9.210770066750786e-05,-0.00015471795382450187
SARS,0.0019842525939851433,0.0011425828047296087,0.0009515473729244629,0.0007968151994223059,-0.0008416697892555346,-0.00019103543180514588,-0.00015473217350215696,-0.0011874373945628374
Pfizer–BioNTech COVID-19 vaccine,0.0,0.0,0.0007456882163552702,0.0007956350217366977,0.0,0.0007456882163552702,4.9946805381427496e-05,0.0007956350217366977
United Kingdom,0.0011933442839361331,0.0010901549556444287,0.0010858741233044345,0.0007950717962971665,-0.00010318932829170443,-4.280832339994189e-06,-0.000290802327007268,-0.0003982724876389666
Johns Hopkins University,0.000882392050943059,0.0011004945929256405,0.0009291444046392242,0.0007911452637979668,0.0002181025419825815,-0.00017135018828641632,-0.00013799914084125736,-9.124678714509218e-05
COVID-19 lockdowns,0.0,0.00047136628680630285,0.0004864801268394917,0.0007878419002113147,0.00047136628680630285,1.5113840033188818e-05,0.00030136177337182306,0.0007878419002113147
COVID-19 pandemic in the United States,0.000779037225616988,0.0008119200499829822,0.0007588868955907459,0.0007735496900548276,3.2882824365994224e-05,-5.3033154392236265e-05,1.4662794464081683e-05,-5.487535562160358e-06
Hydroxychloroquine,0.0,0.0007938726725538928,0.0007272786388333878,0.0007706922917688932,0.0007938726725538928,-6.659403372050502e-05,4.3413652935505426e-05,0.0007706922917688932
Oxford–AstraZeneca COVID-19 vaccine,0.0,0.0,0.0007086701001874858,0.0007630283590450327,0.0,0.0007086701001874858,5.4358258857546845e-05,0.0007630283590450327
Coronavirus,0.001183293891097996,0.0010355681534688814,0.0009956120005390314,0.0007598624401990654,-0.0001477257376291145,-3.995615292985005e-05,-0.000235749560339966,-0.00042343145089893054
SARS-CoV-2 Omicron variant,0.0,0.0,0.0,0.0007567477174420112,0.0,0.0,0.0007567477174420112,0.0007567477174420112
Cancer,0.0014404794285356758,0.0007971630657962738,0.0006696381072104791,0.0007418336006279699,-0.000643316362739402,-0.0001275249585857948,7.219549341749083e-05,-0.000698645827907706
COVID-19 pandemic in Singapore,0.000779037225616988,0.0006065163099374724,0.0009217729693841999,0.0007320161560276276,-0.00017252091567951562,0.00031525665944672756,-0.00018975681335657232,-4.702106958936038e-05
Face masks during the COVID-19 pandemic,0.0,0.0005942665688582786,0.0007431599442589993,0.0007270616216247922,0.0005942665688582786,0.0001488933754007207,-1.609832263420709e-05,0.0007270616216247922
The Lancet,0.0013293825212166654,0.0009615385147471559,0.0008400527289880687,0.0007259523085769846,-0.0003678440064695095,-0.0001214857857590872,-0.0001141004204110841,-0.0006034302126396808
Pneumonia,0.0012659100465828277,0.0009934513235764827,0.0008089441679018847,0.0007244528575165846,-0.00027245872300634506,-0.00018450715567459798,-8.449131038530005e-05,-0.0005414571890662431
COVID-19 pandemic in the United Kingdom,0.000779037225616988,0.0007778808499753742,0.0007368078532553971,0.0007194303124661066,-1.15637564161383e-06,-4.107299671997702e-05,-1.737754078929058e-05,-5.960691315088143e-05
The Wall Street Journal,0.0011566947140925561,0.0007825112727018613,0.000803858302132287,0.0007177617558552027,-0.0003741834413906949,2.1347029430425772e-05,-8.609654627708436e-05,-0.00043893295823735346
Clinical trial,0.0008563895083584295,0.0008409013640439132,0.0007144497947779783,0.0007133768869942874,-1.548814431451631e-05,-0.00012645156926593493,-1.072907783690848e-06,-0.00014301262136414208
Deployment of COVID-19 vaccines,0.0,0.0,0.0,0.00070748108400011,0.0,0.0,0.00070748108400011,0.00070748108400011
SARS-CoV-2 Delta variant,0.0,0.0,0.0,0.0007049044589704222,0.0,0.0,0.0007049044589704222,0.0007049044589704222
South Africa,0.0015168983346263453,0.001046597798097704,0.0010492543164319077,0.0007034922616251364,-0.0004703005365286413,2.6565183342036527e-06,-0.0003457620548067713,-0.0008134060730012089
Shortness of breath,0.001524665893221872,0.0009780292645086412,0.0008180634184297457,0.0006994099599878578,-0.0005466366287132309,-0.0001599658460788955,-0.00011865345844188789,-0.0008252559332340143
COVID-19 pandemic in Malaysia,0.000779037225616988,0.0009007329995445364,0.0007876561389062727,0.0006970837973161174,0.00012169577392754846,-0.00011307686063826371,-9.057234159015539e-05,-8.195342830087063e-05
Infection,0.0008623220602533234,0.0010380744641300269,0.0008060349323833948,0.000694075441234996,0.0001757524038767035,-0.00023203953174663204,-0.00011195949114839888,-0.00016824661901832742
Milan,0.002093254992840778,0.001072259225299061,0.0008086070542613729,0.0006855932886228421,-0.001020995767541717,-0.0002636521710376881,-0.00012301376563853082,-0.0014076617042179359
Pfizer,0.0,0.0005003594100450448,0.000758356355925634,0.0006823447687793311,0.0005003594100450448,0.00025799694588058916,-7.601158714630289e-05,0.0006823447687793311
Influenza,0.0014152506320332385,0.0008147604647540945,0.0007615996660810892,0.0006791324329076793,-0.0006004901672791441,-5.316079867300524e-05,-8.246723317340996e-05,-0.0007361181991255593
Nirmatrelvir,0.0,0.0,0.0,0.0006742153725388326,0.0,0.0,0.0006742153725388326,0.0006742153725388326
NPR,0.0012740548757433057,0.0008587849559994703,0.0007014987455674385,0.0006736050448739095,-0.00041526991974383547,-0.0001572862104320318,-2.7893700693528995e-05,-0.0006004498308693963
COVID-19 pandemic in India,0.0,0.0005697581479287339,0.0005766242490879799,0.0006703788458256674,0.0005697581479287339,6.866101159246031e-06,9.375459673768751e-05,0.0006703788458256674
National Health Service,0.0011654763516353497,0.0007665851323104946,0.000715436249147192,0.0006610799804592093,-0.0003988912193248551,-5.114888316330257e-05,-5.435626868798265e-05,-0.0005043963711761403
Chronic fatigue syndrome,0.0014485518208463685,0.0008764974036740866,0.0007589253972045645,0.000657101748122732,-0.0005720544171722819,-0.00011757200646952211,-0.00010182364908183246,-0.0007914500727236364
COVID-19 pandemic in Trinidad and Tobago,0.0,0.0004896492850320623,0.0007630823912995743,0.000653277166982618,0.0004896492850320623,0.00027343310626751205,-0.00010980522431695632,0.000653277166982618
Malaria,0.0012505089304312932,0.0008782783447389407,0.0007521159966450863,0.0006532204878761218,-0.00037223058569235256,-0.0001261623480938544,-9.889550876896445e-05,-0.0005972884425551714
Anthony Fauci,0.0008696310134015124,0.0006280466380084903,0.0006507958688880546,0.0006476316234651623,-0.0002415843753930221,2.274923087956435e-05,-3.1642454228923483e-06,-0.0002219993899363501
Basic reproduction number,0.0009653384384587945,0.000708827783434054,0.0008294350879727432,0.0006454400725703304,-0.00025651065502474044,0.0001206073045386892,-0.0001839950154024128,-0.00031989836588846405
